categoria,receita,rendimento_original,ingrediente,quantidade,origem
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,ACÉM sem osso,168.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,COUVE  FLOR 250g,100.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,ALHO PORÓ,45.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,CEBOLA 258g,5.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,SAL,5.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,CHIA (EXTRA BLACK),5.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,TEMPERO A GOSTO,5.0,ABA_RECEITA
Personalizada,"Ragu de carne com pure de couve flor, alho poró, tomate cereja e chia 250g",1.0,TOMATE CEREJA 280g,5.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,AZEITE DE OLIVA 500ml,10.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,COUVE  FLOR 250g,80.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,CEBOLA 258g,10.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,ALHO 65g,5.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,CREME DE LEITE LIGHT 290g,100.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,QUEIJO MUSSARELA pedaço,100.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,NOZ MOSCADA (EM GRÃO),5.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,SAL,5.0,ABA_RECEITA
Personalizada,Couve flor ao molho branco gratinada com queijo 200g,1.0,TEMPERO A GOSTO,5.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,Picanha Suina,168.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,Lemon Pepper 45g,3.5,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,CHIMICHURRI ( SEM PIMENTA),3.5,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,PIMENTA CALABREZA,3.5,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,ABOBRINHA ITALIANA,100.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,ALHO 65g,5.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,TOMATE CEREJA 280g,25.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,AZEITE DE OLIVA 500ml,10.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,SAL,5.0,ABA_RECEITA
Personalizada,Picanha Suína e espaguete de abobrinha 250g,1.0,PIMENTA PRETA,4.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,PATINHO (CARNE MOIDA),100.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,ABOBRINHA ITALIANA,140.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,QUEIJO MUSSARELA pedaço,30.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,QUEIJO PARMESÃO,10.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,CREME DE RICOTA 200g TIROLEZ,20.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,AZEITE DE OLIVA 500ml,4.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,SAL,2.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,TEMPERO A GOSTO,1.0,ABA_RECEITA
